# ChooseHextech 套路数据（社区用户套路 data/userjson + 每英雄 1 条常规兜底）
# 生成：collect/scripts/userjson-merge.mts，2026-08-15
# 格式：英雄  套路名  海克斯推荐  装备推荐  对局技巧  作者  适用版本
英雄	套路名	海克斯推荐	装备推荐	对局技巧	作者	适用版本
亚索	秘术冲拳无限吹风流	秘术冲拳、会心治疗、会心防御	幻影之舞、毁坏仪式、死亡之舞、振奋盔甲、破败王者之刃、饮血剑、千变者贾修、育恩塔尔荒野箭	锻体：全能吸血、攻击力、物穿、攻速、移速		26.16
亚索	毁坏仪式无限护盾流	会心治疗、蛋白粉奶昔、灵巧、强力护盾	幻影之舞、毁坏仪式、死亡之舞、振奋盔甲、破败王者之刃、饮血剑、智慧末刃、千变者贾修	锻体：治疗强度、全能吸血、攻击力、物穿、攻速、移速		26.16
亚索	灵魄炸弹亚索	灵魄炸弹、蛋白粉奶昔、我们的治疗、灵魂虹吸	幻影之舞、毁坏仪式、死亡之舞、振奋盔甲、无尽之刃、凡性的提醒	锻体：全能吸血、治疗强度		26.16
亚索	虚空冲刺亚索	虚空冲刺	幻影之舞、毁坏仪式、死亡之舞、振奋盔甲、破败王者之刃、饮血剑、千变者贾修	暂无		26.16
亚索	快乐跑刀男	暗影疾奔、会心治疗、吸血习性	破败王者之刃、育恩塔尔荒野箭、毁坏仪式、无尽之刃、振奋盔甲、斯塔缇克电刃	暂无		26.16
亚索	暴力QQQ	秘术冲拳、回归基本功、升级：无尽之刃、双发快射	收集者、狂战士胫甲、无尽之刃、幻影之舞、不朽盾弓、多米尼克领主的致意	暂无		26.16
塔姆	虚幻武器蛤蟆	虚幻武器、坦克引擎、钢化你心、歌利亚巨人、连拨击锤	心之钢、黄昏与黎明、裂隙制造者、狂徒铠甲、影焰、灭世者的死亡之帽	锻体：CD、治疗强度、生命值、抗性、法穿、移速、全能吸血		26.16
塔姆	连拔击锤AP流	连拨击锤、歌利亚巨人、科学狂人、尤里卡	心之钢、裂隙制造者、灭世者的死亡之帽、虚空之杖、狂徒铠甲、法师之靴	锻体：法强、法穿、技能急速		26.16
塔姆	坦克流	坦克引擎、钢化你心、飞身踢、歌利亚巨人	心之钢、狂徒铠甲、无终恨意、自然之力、千变者贾修、振奋盔甲	锻体：治疗强度、CD、抗性、生命值、移速、法穿		26.16
芮尔	残忍坦克流	残忍、坦克引擎、钢化你心、歌利亚巨人	心之钢、狂徒铠甲、无终恨意、深渊面具、兰顿之兆、千变者贾修、帝国指令	锻体：法穿、法强、CD、抗性、生命值、移速		26.16
芮尔	坦克流	坦克引擎、钢化你心、星界躯体、飞身踢、歌利亚巨人、尖端发明家、重量级打击手	心之钢、狂徒铠甲、无终恨意、凛冬之临、振奋盔甲、千变者贾修、帝国指令	锻体：抗性、生命值、CD、移速		26.16
芮尔	高压锅芮尔	钢化你心、高压锅、坦克引擎、歌利亚巨人	心之钢、深渊面具、无终恨意、千变者贾修、荆棘之甲、自然之力	暂无		26.16
芮尔	新赛季芮天帝	高压锅、钢化你心、坦克引擎、冰寒	心之钢、狂徒铠甲、无终恨意、基克的聚合、璀璨回响、千变者贾修	暂无		26.16
芮尔	爆杀流	回归基本功、珠光护手、唯快不破	影焰、风暴狂涌、灭世者的死亡之帽、法师之靴、虚空之杖、中娅沙漏	暂无		26.16
永恩	秘术冲拳无限吹风流	秘术冲拳、会心治疗	育恩塔尔荒野箭、毁坏仪式、死亡之舞、破败王者之刃、振奋盔甲、水银之靴、饮血剑、千变者贾修	锻体：攻击力、治疗强度、攻速、全能吸血、物穿、移速		26.16
永恩	毁坏仪式无限护盾流	会心治疗、灵巧、强力护盾、钢化你心	育恩塔尔荒野箭、毁坏仪式、死亡之舞、破败王者之刃、振奋盔甲、饮血剑、智慧末刃	锻体：攻击力、治疗强度、攻速、全能吸血、物穿、移速		26.16
永恩	炸金搜打撇流	夺金、牙仙子	育恩塔尔荒野箭、无尽之刃、毁坏仪式、多米尼克领主的致意、破败王者之刃、死亡之舞	暂无		26.16
永恩	滚雪球暴穿流	牙仙子、升级：收集者、双刀流、穿针引线、秘术冲拳	收集者、破败王者之刃、多米尼克领主的致意、纳沃利烁刃、电震涡流剑、兰顿之兆	暂无		26.16
永恩	无限QW	秘术冲拳、超负荷、升级：无尽之刃、吸血习性	育恩塔尔荒野箭、无尽之刃、毁坏仪式、破败王者之刃、死亡之舞、暴食胫甲	暂无		26.16
瑟提	一拳超人	钢化你心、坦克引擎、歌利亚巨人、重量级打击手、飞身踢、珠光护手、魔法转物理	心之钢、霸王血铠、朔极之矛、巨型九头蛇、狂徒铠甲、振奋盔甲、死亡之舞	锻体：攻击力、生命值、移速、CD、攻速、全能吸血		26.16
瑟提	法爆爆穿流腕豪	珠光护手、升级：无尽之刃、灵魂虹吸	狂妄、公理圆弧、多米尼克领主的致意、无尽之刃、朔极之矛、死亡之舞	锻体：物穿、攻击力、CD、移速		26.16
瑟提	牙仙子无限大招腕豪	牙仙子、藏身草丛、巨人杀手	狂妄、公理圆弧、暴食胫甲、电震涡流剑、多米尼克领主的致意、海克斯注力刚壁	锻体：物穿、攻击力、移速、全能吸血		26.16
瑟提	穿甲腕豪	巨人杀手、牙仙子、穿针引线、珠光护手	狂妄、公理圆弧、死亡之舞、多米尼克领主的致意、无尽之刃、夜之锋刃	锻体：攻击力、物穿、CD、移速、全能吸血		26.16
瑟提	认真一拳	钢化你心、歌利亚巨人、坦克引擎、魔法转物理	心之钢、狂徒铠甲、霸王血铠、无穷饥渴、裂隙制造者、死亡之舞	暂无		26.16
瑟提	叶问	珠光护手、更万用的瞄准镜、最万用的瞄准镜、升级：收集者	收集者、无尽之刃、破败王者之刃、多米尼克领主的致意、幻影之舞、死亡之舞	暂无		26.16
烈娜塔 · 戈拉斯克	咒语裂变列娜塔	咒语裂变、残忍、扇巴掌、吞噬灵魂、巨像的勇气、尤里卡、回归基本功	帝国指令、残疫、影焰、灭世者的死亡之帽、蜕生、裂隙制造者、时光之杖	锻体：CD、法穿、法强、移速、全能吸血		26.16
烈娜塔 · 戈拉斯克	AP烈娜塔	沃格勒特的巫师帽、回归基本功、科学狂人、男爵之手、歌利亚巨人、狂热者、咒语裂变、残忍	纳什之牙、残疫、影焰、灭世者的死亡之帽、虚空之杖、大天使之杖、卢安娜的飓风	锻体：法强、法穿、攻速、CD、移速		26.16
烈娜塔 · 戈拉斯克	裂变Q残忍烈娜塔	咒语裂变、残忍、扇巴掌、吞噬灵魂	帝国指令、影焰、灭世者的死亡之帽、虚空之杖、残疫、暴食胫甲	暂无		26.16
阿萝拉	虚幻武器兔子	虚幻武器、尤里卡、回归基本功、家园卫士、有始有终、牙仙子、珠光护手	黄昏与黎明、黯炎火炬、影焰、风暴狂涌、灭世者的死亡之帽、虚空之杖	锻体：法穿、法强、CD、移速、全能吸血		26.16
阿萝拉	法爆兔子	珠光护手、回归基本功、魔法转物理、有始有终、牙仙子	卢登的回声、影焰、灭世者的死亡之帽、虚空之杖、风暴狂涌、兰德里的折磨、无尽之刃	锻体：法穿、法强、CD、移速、全能吸血		26.16
阿萝拉	Faker来了也一样	虚幻武器、牙仙子、暗影疾奔、回归基本功	影焰、风暴狂涌、灭世者的死亡之帽、兰德里的折磨、女妖面纱、虚空之杖	暂无		26.16
安妮	法爆爆杀流	珠光护手、物理转魔法	风暴狂涌、影焰、灭世者的死亡之帽、虚空之杖、视界专注、残疫	锻体：法强、法穿、CD、移速		26.16
安妮	影流之熊安妮	杀戮时间到了、尤里卡、无限循环往复、超凡邪恶、仆从大师	残疫、风暴狂涌、法师之靴、灭世者的死亡之帽、虚空之杖、兰德里的折磨	锻体：法穿、CD、法强、移速		26.16
安妮	cd流安妮	大法师、循环往复	黯炎火炬、兰德里的折磨、沃格勒特的巫师帽、命定灰烬、灭世者的死亡之帽、大天使之杖	暂无		26.16
奥拉夫	血魔流	术士果汁盒、会心治疗、缩小引擎、更万用的瞄准镜	狂妄、海克斯注力刚壁、无穷饥渴、死亡之舞、振奋盔甲、朔极之矛、挺进破坏者	锻体：攻速、全能吸血、CD、物穿、治疗强度		26.16
奥拉夫	疯狗	更万用的瞄准镜	霸王血铠、舒瑞娅的战歌、无终恨意、黯炎火炬、败魔、黄昏与黎明	暂无		26.16
奥拉夫	极限攻速贴脸流狂战士	全凭身法、急急小子、吸血习性、星界躯体	三相之力、破败王者之刃、挺进破坏者、无尽之刃、无穷饥渴	暂无		26.16
崔斯特	法爆卡牌	珠光护手、魔法飞弹、巨人杀手、牙仙子	黯炎火炬、兰德里的折磨、影焰、灭世者的死亡之帽、毁坏仪式、视界专注	锻体：法穿、法强、CD、移速、全能吸血		26.16
崔斯特	回响Q丢子流	回响施放、回归基本功、珠光护手、无限循环往复	卢登的回声、影焰、灭世者的死亡之帽、黯炎火炬、兰德里的折磨	锻体：CD、法穿、法强、移速		26.16
崔斯特	基本功一牌秒人流	回归基本功、珠光护手、家园卫士、沃格勒特的巫师帽、巨人杀手、物理转魔法	风暴狂涌、影焰、卢登的回声、灭世者的死亡之帽、虚空之杖、法师之靴、无尽之刃、巫妖之祸	锻体：法穿、法强、CD、移速		26.16
赵信	蛋白粉赵信	蛋白粉奶昔、回归基本功	心之钢、鬼索的狂暴之刃、败魔、荆棘之甲、千变者贾修、振奋盔甲、黄昏与黎明	锻体：治疗强度、攻速、CD、移速		26.16
赵信	物法皆修无限回血流	物法皆修、蛋白粉奶昔、狂热者、歌利亚巨人、踢踏舞、回归基本功	心之钢、斯塔缇克电刃、黄昏与黎明、死亡之舞、振奋盔甲、兰顿之兆、败魔、鬼索的狂暴之刃	锻体：治疗强度、攻速、全能吸血、CD、移速		26.16
赵信	暴穿流赵信	升级：无尽之刃、珠光护手、关键暴击、会心防御、灵魂虹吸	狂妄、收集者、无尽之刃、多米尼克领主的致意、电震涡流剑、死亡之舞	锻体：物穿、攻击力、攻速、CD、移速		26.16
赵信	上千法强无限护盾	超强大脑、物法皆修	灭世者的死亡之帽、死亡之舞、黄昏与黎明、鬼索的狂暴之刃、斯塔缇克电刃、振奋盔甲	暂无		26.16
厄加特	亮剑螃蟹	亮出你的剑、利刃华尔兹、牙仙子、穿针引线	狂妄、收集者、多米尼克领主的致意、亵渎九头蛇、死亡之舞、幽梦之灵	锻体：物穿、攻击力、全能吸血、移速		26.16
厄加特	穿甲帝王蟹	亮出你的剑、珠光护手、利刃华尔兹	收集者、狂妄、电震涡流剑、多米尼克领主的致意、亵渎九头蛇、夜之锋刃	锻体：攻击力、物穿、CD、移速、全能吸血		26.16
厄加特	踢踏舞螃蟹	踢踏舞	心之钢、挺进破坏者、霸王血铠、斯特拉克的挑战护手、兰顿之兆、水银之靴	锻体：移速、全能吸血、物穿、魔抗、生命值		26.16
乐芙兰	薄纱流妖姬	珠光护手、沃格勒特的巫师帽、巨人杀手、物理转魔法、全凭身法	法师之靴、风暴狂涌、影焰、灭世者的死亡之帽、卢登的回声、虚空之杖、无尽之刃	锻体：法强、法穿、CD、移速		26.16
费德提克	法爆稻草人	珠光护手、物理转魔法、杀戮时间到了、有始有终、易损	残疫、影焰、灭世者的死亡之帽、兰德里的折磨、中娅沙漏、虚空之杖、无尽之刃	锻体：法穿、法强、CD、移速		26.16
费德提克	一Q秒人流	物理转魔法、有始有终、科学狂人、歌利亚巨人、超凡邪恶	影焰、灭世者的死亡之帽、法师之靴、虚空之杖、视界专注、残疫	锻体：法强、法穿、CD、移速		26.16
费德提克	爆发秒人团战流	尤里卡、巫师式思考、杀戮时间到了、最终形态	残疫、影焰、兰德里的折磨、灭世者的死亡之帽、虚空之杖、中娅沙漏	暂无		26.16
凯尔	双重打击强化E天使	双重打击、可靠武器、大师铸就	纳什之牙、暴食胫甲、黄昏与黎明、灭世者的死亡之帽、影焰、界弓	锻体：法穿、法强、CD、移速、全能吸血		26.16
凯尔	秘术冲拳天使	秘术冲拳、狂热者、双刀流、虚幻武器、神射法师	黄昏与黎明、斯塔缇克电刃、纳什之牙、灭世者的死亡之帽、卢安娜的飓风、破败王者之刃、鬼索的狂暴之刃、界弓	锻体：物穿、法穿、攻速、CD、全能吸血、移速		26.16
凯尔	物法皆修天使	物法皆修、神射法师、狂热者、双刀流、超凡邪恶	纳什之牙、卢安娜的飓风、界弓、海克斯科技枪刃、灭世者的死亡之帽、影焰、败魔、兰顿之兆	锻体：全能吸血、法穿、攻速、移速		26.16
阿利斯塔	残忍法坦牛头	残忍、物理转魔法、扇巴掌、无限循环往复、珠光护手、大法师	心之钢、海克斯科技枪刃、裂隙制造者、无终恨意、璀璨回响、狂徒铠甲、霸王血铠	锻体：CD、生命值、法强、法穿、移速		26.16
阿利斯塔	法爆核弹牛	珠光护手、易损、魔法转物理、大法师、无限循环往复、缩小引擎	影焰、风暴狂涌、灭世者的死亡之帽、蜕生、星界驱驰、中娅沙漏、无尽之刃	锻体：法穿、CD、法强、移速		26.16
阿利斯塔	大法师无限击飞牛	大法师、无限循环往复、缩小引擎、易损	凛冬之临、海克斯科技枪刃、明朗之靴、大天使之杖、蜕生、冰霜之心、时光之杖	锻体：CD、抗性、移速		26.16
希维尔	ADC-暴击特效流	易损、升级：无尽之刃、双刀流、双发快射、灵魂虹吸、火上浇油、暴击律动、灵巧、狂热者	育恩塔尔荒野箭、无尽之刃、多米尼克领主的致意、破败王者之刃、饮血剑、狂战士胫甲、卢安娜的飓风、海克斯镜片 C44、败魔、兰顿之兆	锻体：物穿、攻速、攻击力、全能吸血、移速		26.16
希维尔	最团队的希维尔	侵蚀、火上浇油、多重射击	斯塔缇克电刃、纳沃利烁刃、巨蛇之牙、凡性的提醒、黑色切割者、猎魔人弩箭	锻体：物穿、攻击力、攻速、移速、全能吸血		26.16
希维尔	多重射击爽飞流	珠光护手、多重射击	收集者、夺萃之镰、无尽之刃、多米尼克领主的致意、无穷饥渴	暂无		26.16
索拉卡	蛋白粉救赎流	蛋白粉奶昔、全心为你、会心治疗	月石再生器、钢铁烈阳之匣、千变者贾修、救赎、骑士之誓、米凯尔的祝福	锻体：治疗强度、CD、生命值、移速		26.16
索拉卡	超级奶	活力焕发、喂呜喂呜、急救用具、吞噬灵魂	灭世者的死亡之帽、大天使之杖、月石再生器、海力亚的回响、黎明核心、流水法杖	暂无		26.16
提莫	大法师无限蘑菇	大法师、纯粹主义者 - 术师、循环往复、无限循环往复、尤里卡、更万用的瞄准镜	黯炎火炬、兰德里的折磨、残疫、视界专注、影焰、蜕生、纳什之牙、巫妖之祸	锻体：CD、法穿、移速		26.16
提莫	虚幻武器提莫	虚幻武器、更万用的瞄准镜、有始有终、神射法师	斯塔缇克电刃、纳什之牙、黄昏与黎明、影焰、虚空之杖、灭世者的死亡之帽	锻体：CD、法穿、攻速、移速		26.16
提莫	秘术冲拳无限致富流	秘术冲拳、双刀流、灵巧、更万用的瞄准镜	纳什之牙、卢安娜的飓风、鬼索的狂暴之刃、裂隙制造者、黄昏与黎明、狂战士胫甲	锻体：攻速、法穿、法强、CD、移速		26.16
崔丝塔娜	亮剑小炮	亮出你的剑、双刀流	收集者、无尽之刃、多米尼克领主的致意、死亡之舞、饮血剑、不朽盾弓	锻体：物穿、攻击力、攻速、全能吸血、移速		26.16
崔丝塔娜	烟花爆竹	暴击飞弹、连拨击锤、台风、双生火焰	收集者、卢安娜的飓风、无尽之刃、多米尼克领主的致意、饮血剑、斯特拉克的挑战护手	暂无		26.16
崔丝塔娜	捐赠之力	暴击飞弹、捐赠、更万用的瞄准镜	收集者、海克斯镜片 C44、狂战士胫甲、无尽之刃、凡性的提醒、破败王者之刃	暂无		26.16
沃里克	秘术冲拳狼人	秘术冲拳	心之钢、夺萃之镰、死亡之舞、霸王血铠、巨型九头蛇、朔极之矛	锻体：攻速、全能吸血、CD、移速		26.16
沃里克	AP死亡之环流	死亡之环、会心治疗、急救用具、狂热者	星界驱驰、影焰、灭世者的死亡之帽、虚空之杖、振奋盔甲、法师之靴	锻体：法穿、法强、CD、移速、治疗强度		26.16
沃里克	回归基本功ap狼人	回归基本功、狂热者	中娅沙漏、法师之靴、影焰、灭世者的死亡之帽、黄昏与黎明、蜕生	锻体：法强、法穿、全能吸血、CD、移速		26.16
努努和威朗普	回归基本功核弹雪球	回归基本功、有始有终、牙仙子、穿针引线	卢登的回声、影焰、风暴狂涌、灭世者的死亡之帽、虚空之杖、法师之靴	锻体：法穿、法强、CD、移速		26.16
努努和威朗普	死亡之环AP流	死亡之环、穿针引线、牙仙子、无限循环往复	影焰、灭世者的死亡之帽、虚空之杖、振奋盔甲、法师之靴	锻体：法穿、法强、CD、移速		26.16
努努和威朗普	死亡之环蛋白粉流	死亡之环、蛋白粉奶昔、会心治疗、歌利亚巨人	心之钢、振奋盔甲、深渊面具、千变者贾修、荆棘之甲、虚空之杖	锻体：法穿、法强、CD、移速、全能吸血		26.16
泰达米尔	穿甲自爆流	空投熊、俯冲轰炸、巨人杀手	公理圆弧、狂战士胫甲、育恩塔尔荒野箭、凡性的提醒、无尽之刃、狂妄	锻体：攻速、攻击力、移速、CD、全能吸血		26.16
泰达米尔	暴击流	更万用的瞄准镜、罪恶快感、秘术冲拳、升级：无尽之刃、双发快射、暴击律动、死亡之环	育恩塔尔荒野箭、狂战士胫甲、凡性的提醒、无尽之刃、海克斯镜片 C44、无穷饥渴、破败王者之刃	锻体：攻速、攻击力、物穿、CD、移速、全能吸血		26.16
泰达米尔	死亡之环AP蛮王	死亡之环、回归基本功、会心治疗、物理转魔法、物法皆修	风暴狂涌、影焰、灭世者的死亡之帽、虚空之杖、纳什之牙、巫妖之祸	锻体：CD、法穿、法强、治疗强度、移速		26.16
泰达米尔	物法皆修Q奶流	物法皆修、由暴生急、踢踏舞、狂热者	心之钢、斯塔缇克电刃、纳沃利烁刃、无终恨意、兰顿之兆、振奋盔甲	暂无		26.16
泰达米尔	秘术无限大	秘术冲拳	黄昏与黎明、海克斯科技枪刃、斯塔缇克电刃、鬼索的狂暴之刃、智慧末刃、猎魔人弩箭	暂无		26.16
莫甘娜	大法师无限禁流	大法师、缩小引擎、无限循环往复、循环往复、冰寒、牙仙子	黯炎火炬、大天使之杖、视界专注、星界驱驰、影焰、灭世者的死亡之帽、时光之杖、兰德里的折磨	锻体：CD、法穿、法强、移速		26.16
莫甘娜	多功能莫甘娜	冰寒、侵蚀、炽烈黎明、神圣干预	帝国指令、瑞莱的冰晶节杖、湮灭宝珠、深渊面具、冰霜之心、放血者的诅咒、骑士之誓、兰德里的折磨	锻体：CD、治疗强度、法穿、法强、移速		26.16
莫甘娜	牙仙子	牙仙子、巨人杀手	瑞莱的冰晶节杖、卢登的回声、公理圆弧、虚空之杖、灭世者的死亡之帽、影焰	暂无		26.16
辛吉德	炽燃利息抢钱流	炽燃利息、术士果汁盒	黯炎火炬、兰德里的折磨、凛冬之临、瑞莱的冰晶节杖、日炎圣盾、灭世者的死亡之帽、裂隙制造者	锻体：全能吸血、移速、法穿、CD		26.16
辛吉德	残忍炼金	残忍、唯快不破、无限循环往复、缩小引擎、扇巴掌、坦克引擎、叠角龙	兰德里的折磨、瑞莱的冰晶节杖、水银之靴、裂隙制造者、狂徒铠甲、自然之力	锻体：CD、法穿、法强、生命值、移速、全能吸血		26.16
辛吉德	叠角龙无限胶粘炼金	无限循环往复、扇巴掌、叠角龙、吞噬灵魂、缩小引擎、回归基本功	兰德里的折磨、裂隙制造者、狂徒铠甲、振奋盔甲、时光之杖、灭世者的死亡之帽	锻体：CD、法强、法穿、抗性、生命值、移速、全能吸血		26.16
伊芙琳	法爆寡妇	珠光护手	巫妖之祸、影焰、法师之靴、风暴狂涌、灭世者的死亡之帽、虚空之杖	锻体：法穿、法强、CD、移速		26.16
伊芙琳	常规爆杀流寡妇	史上最大雪球、沃格勒特的巫师帽、尤里卡、超凡邪恶、珠光护手	风暴狂涌、影焰、巫妖之祸、灭世者的死亡之帽、虚空之杖、女妖面纱	暂无		26.16
图奇	牙仙子无限大招	牙仙子、升级：无尽之刃、巨人杀手、亮出你的剑	育恩塔尔荒野箭、无尽之刃、多米尼克领主的致意、卢安娜的飓风、破败王者之刃、海克斯注力刚壁、公理圆弧	锻体：攻击力、全能吸血、物穿、攻速、移速		26.16
图奇	暴击流	升级：无尽之刃、双刀流、灵魂虹吸、暴击律动	育恩塔尔荒野箭、无尽之刃、多米尼克领主的致意、卢安娜的飓风、破败王者之刃、海克斯镜片 C44、海克斯科技枪刃	锻体：物穿、攻击力、攻速、全能吸血、移速		26.16
图奇	胶粘折磨流	魔法飞弹、面包和果酱、尤里卡、回响施放	黯炎火炬、裂隙制造者、星界驱驰、灭世者的死亡之帽、影焰、纳什之牙	锻体：CD、法穿、法强、移速		26.16
卡莉丝塔	牙仙子无限大招流	牙仙子、循环往复、大招工具人	残疫、黯炎火炬、兰德里的折磨、影焰、灭世者的死亡之帽、公理圆弧	锻体：法穿、法强、CD、移速		26.16
卡莉丝塔	狙神飞星死歌	狙神飞星、大招工具人、循环往复	残疫、影焰、视界专注、灭世者的死亡之帽、虚空之杖	锻体：CD、法穿、法强		26.16
卡莉丝塔	极速大招流	尤里卡、无限循环往复、循环往复、杀戮时间到了、超凡邪恶、缩小引擎、大招工具人、牙仙子	黯炎火炬、兰德里的折磨、影焰、灭世者的死亡之帽、虚空之杖、中娅沙漏、视界专注、残疫	锻体：CD、法穿、法强		26.16
科加斯	法爆大虫子	珠光护手、歌利亚巨人、科学狂人、物理转魔法	时光之杖、裂隙制造者、灭世者的死亡之帽、海克斯科技枪刃、狂徒铠甲、影焰、无尽之刃	锻体：CD、法强、法穿、生命值、移速		26.16
科加斯	物转法大虫子	物理转魔法、钢化你心、坦克引擎、歌利亚巨人	心之钢、裂隙制造者、霸王血铠、灭世者的死亡之帽、败魔、狂徒铠甲	锻体：攻击力、法强、CD、移速		26.16
科加斯	坦克流	坦克引擎、钢化你心、歌利亚巨人、飞身踢	心之钢、无终恨意、狂徒铠甲、自然之力、千变者贾修、璀璨回响	锻体：CD、抗性、生命值、移速		26.16
阿木木	导管木木	炼狱导管、无限循环往复	心之钢、日炎圣盾、无终恨意、荆棘之甲、狂徒铠甲、深渊面具	锻体：CD、抗性、生命值、移速		26.16
阿木木	一打五	超凡邪恶、坦克引擎、钢化你心、物法皆修	心之钢、振奋盔甲、兰德里的折磨、裂隙制造者、日炎圣盾、霸王血铠	暂无		26.16
阿木木	攻防皆备	歌利亚巨人、质变：棱彩阶、质变：黄金阶、属性！、炼狱导管	基克的聚合、残疫、深渊面具、璀璨回响、兰顿之兆、冰霜之心	暂无		26.16
拉莫斯	蛋白粉花剑披甲剑圣	蛋白粉奶昔、升级：无尽之刃、更万用的瞄准镜、死亡之环	荆棘之甲、花晓之剑、自然之力、千变者贾修、兰顿之兆、冰霜之心	锻体：攻速、全能吸血、抗性、CD		26.16
拉莫斯	自动秒杀流	蛋白粉奶昔、死亡之环、尖端发明家、自适应防护、升级：无尽之刃	原生质护带、兰顿之兆、振奋盔甲、千变者贾修、荆棘之甲、自然之力	暂无		26.16
拉莫斯	蛋白粉满攻速龙龟	蛋白粉奶昔、升级：无尽之刃	花晓之剑、自然之力、兰顿之兆、冰霜之心、千变者贾修、荆棘之甲	暂无		26.16
艾尼维亚	地形专家炽燃利息赚钱流	地形专家、炽燃利息、回响施放、无限循环往复、循环往复	帝国指令、黯炎火炬、兰德里的折磨、大天使之杖、放血者的诅咒、视界专注、瑞莱的冰晶节杖	锻体：CD、法穿、法强、移速		26.16
艾尼维亚	主w冰墙流	老练狙神、无限循环往复、尤里卡、循环往复、超凡邪恶、精怪魔法	残疫、黯炎火炬、大天使之杖、视界专注、星界驱驰、兰德里的折磨	锻体：CD、移速、法强、法穿		26.16
艾尼维亚	精怪魔法大招控制流	精怪魔法、魔法飞弹、杀戮时间到了、回响施放	黯炎火炬、兰德里的折磨、影焰、灭世者的死亡之帽、虚空之杖	暂无		26.16
萨科	AD穿甲自爆流	空投熊、俯冲轰炸、升级：无尽之刃、鲨鱼诱饵	狂妄、收集者、无尽之刃、多米尼克领主的致意、电震涡流剑、亵渎九头蛇	锻体：物穿、攻击力、移速、CD、全能吸血		26.16
萨科	AP百分比增伤自爆流	空投熊、俯冲轰炸、鲨鱼诱饵	裂隙制造者、兰德里的折磨、影焰、灭世者的死亡之帽、视界专注	锻体：CD、法穿、法强、移速		26.16
萨科	AD小丑	升级：无尽之刃、会心防御、灵魂虹吸、巨人杀手	狂妄、收集者、无尽之刃、多米尼克领主的致意、死亡之舞、水银之靴	锻体：物穿、攻击力、CD、移速、全能吸血		26.16
娑娜	木已成舟qa秒人流	珠光护手、物理转魔法、仁慈打击	卢登的回声、风暴狂涌、影焰、巫妖之祸、灭世者的死亡之帽、虚空之杖、蜕生、无尽之刃	锻体：法穿、法强、CD、移速		26.16
娑娜	仁慈打击琴女	仁慈打击、纯粹主义者 - 术师	炽热香炉、耳语头环、巫妖之祸、流水法杖、黎明核心、虚空之杖	锻体：CD、法穿、移速		26.16
娑娜	灵魂炸弹触发器	纯粹主义者 - 术师、灵魄炸弹、大法师、无限循环往复、仁慈打击	耳语头环、月石再生器、花晓之剑、黎明核心、纳什之牙、灭世者的死亡之帽	暂无		26.16
卡萨丁	唯快不破核增伤流	唯快不破、冰寒、由心及物	时光之杖、魔宗、大天使之杖、灭世者的死亡之帽、虚空之杖、中娅沙漏、女妖面纱	锻体：法穿、法强、CD、移速		26.16
卡萨丁	扳机炼狱卡萨丁	扳机炼狱、由心及物	时光之杖、魔宗、大天使之杖、灭世者的死亡之帽、虚空之杖、裂隙制造者、视界专注	锻体：法强、法穿、物穿、CD、移速		26.16
卡萨丁	无限突脸流	无限循环往复、牙仙子、无尽大杀四方、急急小子、扳机炼狱	海克斯科技枪刃、时光之杖、残疫、灭世者的死亡之帽、虚空之杖、大天使之杖	暂无		26.16
艾瑞莉娅	秘术冲拳无限q刀妹	秘术冲拳、虚幻武器、全凭身法、循环往复	无穷饥渴、朔极之矛、死亡之舞、黑色切割者、守护者之刃	锻体：CD、全能吸血、物穿、攻击力、移速		26.16
艾瑞莉娅	ap刀妹	珠光护手、尤里卡、面包和黄油	风暴狂涌、虚空之杖、灭世者的死亡之帽、视界专注、法师之靴	暂无		26.16
迦娜	扇巴掌风女	扇巴掌、吞噬灵魂、缩小引擎、无限循环往复、超凡邪恶	裂隙制造者、耳语头环、灭世者的死亡之帽、黯炎火炬、时光之杖、影焰	锻体：CD、治疗强度、法强、移速		26.16
迦娜	蛋白粉护盾流	蛋白粉奶昔、急救用具、升级：无尽之刃、信念者的强化、至高天诺言	千变者贾修、兰顿之兆、振奋盔甲、败魔、自然之力、冰霜之心、月石再生器、花晓之剑	锻体：抗性、治疗强度、CD、移速		26.16
迦娜	死亡之环风女	死亡之环、溢流、终极刷新、急救用具、扇巴掌	帝国指令、大天使之杖、月石再生器、炽热香炉、耳语头环、蜕生	锻体：法强、法穿、治疗强度、CD、移速		26.16
库奇	7.17倍爆伤持续流	珠光护手、易损、扳机炼狱	收集者、无尽之刃、多米尼克领主的致意、破败王者之刃、影焰、饮血剑、海克斯镜片 C44	锻体：攻击力、物穿、攻速、CD、全能吸血		26.16
库奇	炼狱扳机秒s流飞机	扳机炼狱	收集者、无尽之刃、多米尼克领主的致意、狂战士胫甲、饮血剑、无穷饥渴、海克斯镜片 C44	锻体：物穿、攻击力、攻速、移速、全能吸血		26.16
库奇	亮剑暴击飞机	亮出你的剑	收集者、无尽之刃、多米尼克领主的致意、死亡之舞、饮血剑、无穷饥渴、暴食胫甲	锻体：物穿、攻击力、攻速、移速、全能吸血		26.16
卡尔玛	护盾流	喂呜喂呜、急救用具、至高天诺言、全心为你	救赎、炽热香炉、耳语头环、流水法杖、明朗之靴、帝国指令、残疫、月石再生器	锻体：治疗强度、CD、生命值、抗性、移速		26.16
